,condition,conversation_txt,con_txt_A,con_txt_B
0,NB,"Okay, so uh, I guess they said we should start?  Yea, we should start So uh they said that this is a topic we disagreed on. So I'm guessing you said that it shouldn't be abolished?  Um, yeah. Um I guess I'd like to hear you talk about it I actually didn't look much into the legal system here, but for death penalty, I think like, if..I think if someone committed to a really serious crime such as umm very like, like murdering people and like not being regretful about that and then um like continuously doing a lot of things that will harm the security of the society and also the people around them. I don't think there is any reason why this person could continue to live in this society, Yeah, like definitely, like, I definitely see what you mean what the reason I personally am against the death penalty isn't because I don't think some people should be from removed society because if you have like someone who's like, I don't know, like a terrorist who, who knows people indiscriminately or something like that, you know, I think they should be removed from society, but at the same time, you know, in terms of like implementation a lot of the time. So like, in the US, like, when someone is sentenced to death, like, the, just from, like, there's, I guess there's two perspectives, there's like, the sort of pragmatic perspective and then there's, like a moral perspective, like, and just from, like, the pragmatic perspective, you know, like when you're talking about like, like, I've done a little bit of research into this. Uh like, it actually costs more to send it to like, uhh an execution because there's a ton of like checks to make sure that you're not executing the wrong person like even even in spite of that every once in a while, you know, like people after their execution are exonerated by DNA evidence and you know, you can't undo a death sentence but you can undo a Life Sentence  I see what you mean.  And then the other thing is like from like a more like moral perspective or not not even a moral perspective. But like, I remember I, I haven't actually read this study. But I remember reading that there was a study that said that like the death penalty isn't any worse than like a life sentence, like life without parole when it comes to punishing or when it comes to discouraging crime. And like when it comes to um what is it? And then like some people, like, from certain points of view, you know, a life sentence without parole might even be a worse punishment than a death sentence. Because with the death sentence, you know, you're you're dying, like you don't have to stew in prison and think about what you've done, you know? With the life sentence, you know, you're left to live the rest of your life, you know, thinking about what you did if that makes sense?  But I guess that, um I don't know. I just don't think we should really care about the moral aspect of it, as like in the society is working, and the moral values are constantly changing. So I think like if you decided something based on the moral power--","Okay, so uh, I guess they said we should start?  So uh they said that this is a topic we disagreed on. So I'm guessing you said that it shouldn't be abolished?  Um I guess I'd like to hear you talk about it Yeah, like definitely, like, I definitely see what you mean what the reason I personally am against the death penalty isn't because I don't think some people should be from removed society because if you have like someone who's like, I don't know, like a terrorist who, who knows people indiscriminately or something like that, you know, I think they should be removed from society, but at the same time, you know, in terms of like implementation a lot of the time. So like, in the US, like, when someone is sentenced to death, like, the, just from, like, there's, I guess there's two perspectives, there's like, the sort of pragmatic perspective and then there's, like a moral perspective, like, and just from, like, the pragmatic perspective, you know, like when you're talking about like, like, I've done a little bit of research into this. Uh like, it actually costs more to send it to like, uhh an execution because there's a ton of like checks to make sure that you're not executing the wrong person like even even in spite of that every once in a while, you know, like people after their execution are exonerated by DNA evidence and you know, you can't undo a death sentence but you can undo a Life Sentence  And then the other thing is like from like a more like moral perspective or not not even a moral perspective. But like, I remember I, I haven't actually read this study. But I remember reading that there was a study that said that like the death penalty isn't any worse than like a life sentence, like life without parole when it comes to punishing or when it comes to discouraging crime. And like when it comes to um what is it? And then like some people, like, from certain points of view, you know, a life sentence without parole might even be a worse punishment than a death sentence. Because with the death sentence, you know, you're you're dying, like you don't have to stew in prison and think about what you've done, you know? With the life sentence, you know, you're left to live the rest of your life, you know, thinking about what you did if that makes sense? ","Yea, we should start Um, yeah. I actually didn't look much into the legal system here, but for death penalty, I think like, if..I think if someone committed to a really serious crime such as umm very like, like murdering people and like not being regretful about that and then um like continuously doing a lot of things that will harm the security of the society and also the people around them. I don't think there is any reason why this person could continue to live in this society, I see what you mean.  But I guess that, um I don't know. I just don't think we should really care about the moral aspect of it, as like in the society is working, and the moral values are constantly changing. So I think like if you decided something based on the moral power--"
1,TYB,"So I don't really I think I said--yes, everyone should--what did you? I-I think put something that's below five.. Oh really, Three or four.. Okay, uhhm so I-I think the reason I put 10 was I-I just thought like, as long as medical condition permits meant, like, they're like safe to take like it, you know, it won't hurt them. And I was also assuming I guess that like the cost would be covered or something. Um uh an-and so that it would just be like a net benefit thing, because um when you get a flu shot, you can't make other people sick. Yeah, I know. I totally agree with the practical thing, because there are definitely times when I just am like lazy. I so yeah, ever maybe okay. Everyone's like should, but in reality--yeah, I totally feel lazy and just don't sometimes but yeah, yeah, that that makes sense.  Yeah, I really like your quoted / because I had a bit of a debate on what ""should"" here means by definition? [laughs] Uh-huh I though should is sort of a strong word-- There might be like some cost to doing it that I'm not thinking of like the fact that you have to like take the time to go and maybe the shot is painful or something and that like that maybe that cost something that really should be considered, well that that like is part of getting a flu shot that I wasn't thinking about so-- Uh-huh-- --strongly agree side. Yeah, I-I don't know about maybe it wasn't the best language but but yeah, like if it was.. I don't know diseases, but yeah, you're right like some some stronger thing--whereas the flu is like eh, but um I mean, I haven't been sick for a while so I don't know-- Oh, don't say that!  You think like it might like jinx it or something?  [laughs] Probably, that's just uh-let's hope that doesn't happen. Yeah And also, seasonal is very frequent-- To get a shot every season? Right Yeah, I mean I would still say maybe people should, but I can see why someone wouldn’t, so… Uh-huh","So I don't really I think I said--yes, everyone should--what did you? Oh really, Okay, uhhm so I-I think the reason I put 10 was I-I just thought like, as long as medical condition permits meant, like, they're like safe to take like it, you know, it won't hurt them. And I was also assuming I guess that like the cost would be covered or something. Um uh an-and so that it would just be like a net benefit thing, because um when you get a flu shot, you can't make other people sick. Yeah, I know. I totally agree with the practical thing, because there are definitely times when I just am like lazy. I so yeah, ever maybe okay. Everyone's like should, but in reality--yeah, I totally feel lazy and just don't sometimes but yeah, yeah, that that makes sense.  Uh-huh There might be like some cost to doing it that I'm not thinking of like the fact that you have to like take the time to go and maybe the shot is painful or something and that like that maybe that cost something that really should be considered, well that that like is part of getting a flu shot that I wasn't thinking about so-- Uh-huh-- Yeah, I-I don't know about maybe it wasn't the best language but but yeah, like if it was.. I don't know diseases, but yeah, you're right like some some stronger thing--whereas the flu is like eh, but um I mean, I haven't been sick for a while so I don't know-- You think like it might like jinx it or something?  Yeah To get a shot every season? Yeah, I mean I would still say maybe people should, but I can see why someone wouldn’t, so…","I-I think put something that's below five.. Three or four.. Yeah, I really like your quoted / because I had a bit of a debate on what ""should"" here means by definition? [laughs] I though should is sort of a strong word-- --strongly agree side. Oh, don't say that!  [laughs] Probably, that's just uh-let's hope that doesn't happen. And also, seasonal is very frequent-- Right Uh-huh"
2,NB,"Uh, so, uh I-I actually uh read a lot about this topic, and, uh uh but from my understanding, um there is a very strong legal case like-- uh being blind to a candidate's race to a large extent is necessary under uhh decisions, uhh relevant decisions from the Supreme Court and other and there are a current cases working through the court system uhh with the aim of uh clarifying that decision. And uhh I think the primary consideration should be uhh that the Ivy League institution being uhh recipients of federal funding must follow the law. Ok and so what does the law say? Does it say like, or what did the study show? So so the I believe it is part of the Civil Rights Act, that states any institution receiving federal funding um must not differentiate discriminate based on like race or uh color or nationality or gender I think. And this is part of like uhh the civil rights act, which is obviously uhh a very important part of uh of the American legal system. So, this is the primary consideration. Ok, umm, another thing I was thinking about is, even when like you don't say specifically what your race is or like what your background is, or anything, a lot of times based on like stuff that ends up coming out in your essays are like based on what your name is even like, do you think like it should just like take off your name when they're looking at that application? Because I feel like a lot of times just based on the name like, you can tell. Well, that is, umm, that is possible, but there are numerous methods that uhh schools can be required to um do their best to kind of not consider a candidate's race.  Ok In addition, I should add that um there are certain research that uh points to a possibility that uh admitting a candidate that is significantly below average of cause if that would not have been the..","Ok and so what does the law say? Does it say like, or what did the study show? Ok, umm, another thing I was thinking about is, even when like you don't say specifically what your race is or like what your background is, or anything, a lot of times based on like stuff that ends up coming out in your essays are like based on what your name is even like, do you think like it should just like take off your name when they're looking at that application? Because I feel like a lot of times just based on the name like, you can tell. Ok","Uh, so, uh I-I actually uh read a lot about this topic, and, uh uh but from my understanding, um there is a very strong legal case like-- uh being blind to a candidate's race to a large extent is necessary under uhh decisions, uhh relevant decisions from the Supreme Court and other and there are a current cases working through the court system uhh with the aim of uh clarifying that decision. And uhh I think the primary consideration should be uhh that the Ivy League institution being uhh recipients of federal funding must follow the law. So so the I believe it is part of the Civil Rights Act, that states any institution receiving federal funding um must not differentiate discriminate based on like race or uh color or nationality or gender I think. And this is part of like uhh the civil rights act, which is obviously uhh a very important part of uh of the American legal system. So, this is the primary consideration. Well, that is, umm, that is possible, but there are numerous methods that uhh schools can be required to um do their best to kind of not consider a candidate's race.  In addition, I should add that um there are certain research that uh points to a possibility that uh admitting a candidate that is significantly below average of cause if that would not have been the.."
3,TYB,"Okay so you--What's your opinion on this? I strongly disagree with this Oh wow-- I think you should be able to walk with a red light. Okay, well, I give it an eight so..I mean like in some cases when I'm really in hurry-- someone's really in hurry I think they should be able to cross and there's like absolutely no cars in sight, but in general, but in general..I don't think people should do that. Okay I see where you're coming, but from in terms of like if you were a driver, I guess I don't really get like if there's no cars there..Why can't you cross? Like why wouldn't you do that? Um because maybe a car will be coming very fast..or they like but they can't like break like if they see you crossing--like especially walking and they couldn't break in time and it might cause an accident or if everyone does that, it's going to be quite chaotic on the street but-- I definitely think that, yea-- And that's my reason-- I can see how like it could stop the cars from like breaking in time. But I feel like if you don't see a car like anywhere and it's like people are distant, you should be able to cross even if someone was going say like 80--70,  and also they shouldn't really be going that fast in the first place if it's a local street because you're able to cross--unless it's a highways which wouldn't have crosswalks--plus I just feel like they shouldn't be going that fast anyways, and so it wouldn't be dangerous--especially if you didn't see anything down the line.  Yeah, that may makes sense as well. I mean there's absolutely no cars that are in sight then I think you can cross if you're in a hurry [laughs].   Yeah, I think  also just, I guess, I guess I would describe it like even if you're not in a hurry--you should do it. Like what's the point of waiting if there's no one there to like for you to wait? Um, okay [laughs]. I don't know, that's how I see it I see I see. Yeah, I just think there's a..I don't know a certain rules like if you were--I'm a ..I tend to follow them sometimes. Yea, but I guess, ya I see sometimes I do want to improve and I think especially in Chicago, a lot of people go kind of like jaywalk--I always hate it when people do that. Yea, yea, driver's radio I hate that and I think that if people just came out of nowhere it could be dangerous for them. My only concern is that if the concern is that they can't stop in time and it's dangerous, even if they're going that fast and /(they see a red light?)/ Sometimes, because they're going that fast, they can't stop /(even for a red light?)/ Even with the red light, they won't stop freely.","Okay so you--What's your opinion on this? Oh wow-- Okay, well, I give it an eight so..I mean like in some cases when I'm really in hurry-- someone's really in hurry I think they should be able to cross and there's like absolutely no cars in sight, but in general, but in general..I don't think people should do that. Um because maybe a car will be coming very fast..or they like but they can't like break like if they see you crossing--like especially walking and they couldn't break in time and it might cause an accident or if everyone does that, it's going to be quite chaotic on the street but-- And that's my reason-- Yeah, that may makes sense as well. I mean there's absolutely no cars that are in sight then I think you can cross if you're in a hurry [laughs].   Um, okay [laughs]. I see I see. Yeah, I just think there's a..I don't know a certain rules like if you were--I'm a ..I tend to follow them sometimes. Yea, yea, driver's radio I hate that and I think that if people just came out of nowhere it could be dangerous for them. Even with the red light, they won't stop freely.","I strongly disagree with this I think you should be able to walk with a red light. Okay I see where you're coming, but from in terms of like if you were a driver, I guess I don't really get like if there's no cars there..Why can't you cross? Like why wouldn't you do that? I definitely think that, yea-- I can see how like it could stop the cars from like breaking in time. But I feel like if you don't see a car like anywhere and it's like people are distant, you should be able to cross even if someone was going say like 80--70,  and also they shouldn't really be going that fast in the first place if it's a local street because you're able to cross--unless it's a highways which wouldn't have crosswalks--plus I just feel like they shouldn't be going that fast anyways, and so it wouldn't be dangerous--especially if you didn't see anything down the line.  Yeah, I think  also just, I guess, I guess I would describe it like even if you're not in a hurry--you should do it. Like what's the point of waiting if there's no one there to like for you to wait? I don't know, that's how I see it Yea, but I guess, ya I see sometimes I do want to improve and I think especially in Chicago, a lot of people go kind of like jaywalk--I always hate it when people do that. My only concern is that if the concern is that they can't stop in time and it's dangerous, even if they're going that fast and /(they see a red light?)/ Sometimes, because they're going that fast, they can't stop /(even for a red light?)/"
4,TYB,"I'm good whenever you are Okay, let's start, yea [laugh] So I guess like, wha-wha-what do you think about um, I guess this question? Yeah, so um I think uhhh we should not be required [laugh] to volunteer uh because I think volunteer by nature is self growing. So, some students might not uh have the intention to do so if they are required to so they might be reluctant [laugh] Yeah, I do think those are the benefits of um volunteering. I think especially for me, uhh like you said, I'm very easy to get only focused on on schoolwork [laugh], and I couldn't care about the environment that much. And yeah, so um I think probably, uh when we're uh required to do volunteers, I think is more efficient and beneficial if we can uh have a real sense of what we can do like specifically, for example, we can apply uh what we learn at schools to uh volunteering. And instead of just, uh choosing whatever that seems like uh volunteer stuff, like at my high school [laugh], uh everyone just does the same thing and it's very pretty yea. Gotcha. Yeah, I didn't like have like volunteering in high school.  Oh yea, [laugh] But yea I think a lot of people would benefit from that.  Yea, okay.","Okay, let's start, yea [laugh] Yeah, so um I think uhhh we should not be required [laugh] to volunteer uh because I think volunteer by nature is self growing. So, some students might not uh have the intention to do so if they are required to so they might be reluctant [laugh] Yeah, I do think those are the benefits of um volunteering. I think especially for me, uhh like you said, I'm very easy to get only focused on on schoolwork [laugh], and I couldn't care about the environment that much. And yeah, so um I think probably, uh when we're uh required to do volunteers, I think is more efficient and beneficial if we can uh have a real sense of what we can do like specifically, for example, we can apply uh what we learn at schools to uh volunteering. And instead of just, uh choosing whatever that seems like uh volunteer stuff, like at my high school [laugh], uh everyone just does the same thing and it's very pretty yea. Oh yea, [laugh] Yea, okay.","I'm good whenever you are So I guess like, wha-wha-what do you think about um, I guess this question? Gotcha. Yeah, I didn't like have like volunteering in high school.  But yea I think a lot of people would benefit from that. "
5,TYB,"I just strongly believe in the right to um {{}} dignity. And so yeah, I agree with with the idea that physician assisted suicide should be legal. Um I think it's important that like, I don't know, from personal experience like seeing people who are like suffering when they're like in old age and like dying to know that they should be allowed to do something.  I like what you said about like the right to. I just think, um I guess I was looking more towards like younger people. I think of older like hospice, I wasn't thinking about. But I feel like as much as it helps them-- it also encourages it. I don't know.  That makes sense. Yea, it's like normalizing the idea of like suicide. Which, yeah, I guess some people might not see it as a last resort anymore. They might just treat it as like something that they could do-- just go out and like run to Walgreens [laugh].  [laugh] Yeah, no I agree with what you said about like normalizing because I think like people will see what physicians and doctors do and clinics as just like, they're like authority they have like PhDs and whatever. So whatever they encourage and they offer services to, is things that people are going to think are like...super...acceptable and not just like, you can walk in and get this as easy as you could do something like get a surgery if you need it or something. Yeah, like I think personally, I just was imagining it being like a really regulated process, um where you have to, like still demonstrate like you like that this is the last resort. Um and also because like yeah, like I know that there's like a lot of potential for abuse. Like if you just like, like if you convince your significant other-- like that one {{}} [laugh]. Do you know what I'm talking about?  [laugh] I don't know  Well OK like this guy..like this chick convinced her boyfriend to like off himself.  What? And I feel like yeah, there's just a lot of potential for abuse because it becomes this easy and like painless, then there there might be an issue, which is I think there needs to be a lot of layers of regulation. Um but yeah, something that I feel like um kind of has a lot of like it actually they have this not like several other countries and mostly people who like ah look at the prescription for example like don't necessarily won't even use it um they'll just like feel better having it there.  So I like we said about regulation but, I'm confused about like having it there I feel like that's so much worse if you're like going about your life and you just have this like I can off myself kind of slip going on. And I don't know how it would get like regulated because you like on your worst days you go in and be like I want this slip. But then on better days, you might like reconsider it. I think like most people, for most people it might be like a… just kind of a um.. like I think it just it would still be like kind of a last resort like like as in like like you would just like a lot of people at least from anecdotally like they take comfort in having the like the option..um but then, like they just feel more secure with their {{}}..  Yeah, so I agree with like having options, but how would you make sure that people like see this option as like less available than like therapy and counseling and like..? Oh, yeah, so, I think it would have to be mandated {{}}.","I like what you said about like the right to. I just think, um I guess I was looking more towards like younger people. I think of older like hospice, I wasn't thinking about. But I feel like as much as it helps them-- it also encourages it. I don't know.  [laugh] Yeah, no I agree with what you said about like normalizing because I think like people will see what physicians and doctors do and clinics as just like, they're like authority they have like PhDs and whatever. So whatever they encourage and they offer services to, is things that people are going to think are like...super...acceptable and not just like, you can walk in and get this as easy as you could do something like get a surgery if you need it or something. [laugh] I don't know  What? So I like we said about regulation but, I'm confused about like having it there I feel like that's so much worse if you're like going about your life and you just have this like I can off myself kind of slip going on. And I don't know how it would get like regulated because you like on your worst days you go in and be like I want this slip. But then on better days, you might like reconsider it. Yeah, so I agree with like having options, but how would you make sure that people like see this option as like less available than like therapy and counseling and like..?","I just strongly believe in the right to um {{}} dignity. And so yeah, I agree with with the idea that physician assisted suicide should be legal. Um I think it's important that like, I don't know, from personal experience like seeing people who are like suffering when they're like in old age and like dying to know that they should be allowed to do something.  That makes sense. Yea, it's like normalizing the idea of like suicide. Which, yeah, I guess some people might not see it as a last resort anymore. They might just treat it as like something that they could do-- just go out and like run to Walgreens [laugh].  Yeah, like I think personally, I just was imagining it being like a really regulated process, um where you have to, like still demonstrate like you like that this is the last resort. Um and also because like yeah, like I know that there's like a lot of potential for abuse. Like if you just like, like if you convince your significant other-- like that one {{}} [laugh]. Do you know what I'm talking about?  Well OK like this guy..like this chick convinced her boyfriend to like off himself.  And I feel like yeah, there's just a lot of potential for abuse because it becomes this easy and like painless, then there there might be an issue, which is I think there needs to be a lot of layers of regulation. Um but yeah, something that I feel like um kind of has a lot of like it actually they have this not like several other countries and mostly people who like ah look at the prescription for example like don't necessarily won't even use it um they'll just like feel better having it there.  I think like most people, for most people it might be like a… just kind of a um.. like I think it just it would still be like kind of a last resort like like as in like like you would just like a lot of people at least from anecdotally like they take comfort in having the like the option..um but then, like they just feel more secure with their {{}}..  Oh, yeah, so, I think it would have to be mandated {{}}."
6,NB,"Yea, so so so. What do you--what do you personally think about this? I think that the US, I answered that the US should lower it. Um not too strongly but just moderately I agree with the statement is because um..I'm so I'm from Korea and the drinking age in Korea is 19. And so I was.. I guess I was shocked when I came to the US. I thought it was 21.  OK-- And I-I well, the reason is I noticed that people drink anyway, you know,  Sure-- They don't really um like in high schools and stuff. If if theoretically, we were to to lower it, I felt like it wasn't really change anything. Mhmm So I think that's why I moderately agreed with this statement [laughs] Personally I thought that like, although like we're on a college campus, like um drinking it very like it's like what like what you said drinking is very um, like we think it's like happening a lot right? Because it's like, just like fraternities and sororities that have events where it's people like, like drink right? But like, I-I think like, like, like that's not necessarily true because like I still like me personally. Like I know a lot of people who like don't do it just because it's the law too,  Yea-- So like if the law isn't there like like like whether people who are religious or whether people who are like, I don't we just don't we just like, we don't want to like, like I don't know, how do you say this? Like, go against the law or something? But like, if you lower it, like, like how much lower would you want it to be like 19? Like, like, uhh-- Sure, like 19 could be fine I guess..and I-I- get, I unders--ike, I just feel like-- Yeah-- --People have that like conception of like, oh, if you're in college you're gonna drink? Well, I don't think that's true.  Yeah-- I-I, it's partially true, but I don't think that's like, that statement could be generalized for the entire population of college students.  I guess the reason maybe that I feel like, perhaps this is not the right approach is if you if the intention on maybe having a higher drinking age is to prevent um, you know, reckless behavior, or, I don't know, reckless behavior among teenagers when they drink. I feel like maybe a more um effective approach would be like to educate… do more education about how to drink safely rather than imposing it-- Yeah, definitely --As a law, um so, yeah, Alright we're almost there.  Yeah, it works. I mean,  Yeah, cuz like I'm from China and um, I went back like with my family a few years ago. And like I was of age in China.  Yeah.","I think that the US, I answered that the US should lower it. Um not too strongly but just moderately I agree with the statement is because um..I'm so I'm from Korea and the drinking age in Korea is 19. And so I was.. I guess I was shocked when I came to the US. I thought it was 21.  And I-I well, the reason is I noticed that people drink anyway, you know,  They don't really um like in high schools and stuff. If if theoretically, we were to to lower it, I felt like it wasn't really change anything. So I think that's why I moderately agreed with this statement [laughs] Yea-- Sure, like 19 could be fine I guess..and I-I- get, I unders--ike, Yeah-- Yeah-- I guess the reason maybe that I feel like, perhaps this is not the right approach is if you if the intention on maybe having a higher drinking age is to prevent um, you know, reckless behavior, or, I don't know, reckless behavior among teenagers when they drink. I feel like maybe a more um effective approach would be like to educate… do more education about how to drink safely rather than imposing it-- --As a law, um so, yeah, Yeah, it works. I mean,  Yeah.","Yea, so so so. What do you--what do you personally think about this? OK-- Sure-- Mhmm Personally I thought that like, although like we're on a college campus, like um drinking it very like it's like what like what you said drinking is very um, like we think it's like happening a lot right? Because it's like, just like fraternities and sororities that have events where it's people like, like drink right? But like, I-I think like, like, like that's not necessarily true because like I still like me personally. Like I know a lot of people who like don't do it just because it's the law too,  So like if the law isn't there like like like whether people who are religious or whether people who are like, I don't we just don't we just like, we don't want to like, like I don't know, how do you say this? Like, go against the law or something? But like, if you lower it, like, like how much lower would you want it to be like 19? Like, like, uhh-- I just feel like-- --People have that like conception of like, oh, if you're in college you're gonna drink? Well, I don't think that's true.  I-I, it's partially true, but I don't think that's like, that statement could be generalized for the entire population of college students.  Yeah, definitely Alright we're almost there.  Yeah, cuz like I'm from China and um, I went back like with my family a few years ago. And like I was of age in China. "
7,NB,"Okay, um, so I put a four. I like very minorly disagree um because ok.. I definitely get annoyed when, like, parents just like sit down their kid and they're like, here look at the-- look the iPad. Um because like...yeah, I mean, I'm sure... yeah, you know..Um but I think sometimes they can be really helpful like if they if it helps them, like, focus on like an educational program that like maybe helps them like, learn math to--. Like yeah, get better or like have um, I don't know, have like a head start before starting school. Um or like maybe the parents aren't very available because they have really tight work schedules. Or like, are in a working class family and they just like need to, like have this way of teaching their kid something. Um I don't think it's ideal, but I think it can help in certain circumstances. I disagree.  Okay-- I put I put a 10 for this.  Okay-- Yea-- And I think also, such early iPad use early really just encourages that idea of like these things are normalized and should be in major part of life which really they shouldn't and they should only be a tool rather than, like a, an attachment means to achieving things. So then yea, I disagree with that.  Yeah, I agree with those points. But I think like, some people, like don't have the resources to, like, be there all the time with their kids, or like, um they're just like in a really bad situation. Or um like they, they can't really hire someone because it's really expensive. Um and like, I think if there is a solution then like that, could be one, ok, like, really developed apps or something, that like know childhood development um that could help especially if the parents are not educated in like early childhood development, which many are not--they're like not prepared in that way. So, I think that could potentially work.  Yea-- I do see your point-- I think you're missing a point because still it would be really bad for their health, their eyesight and--","I disagree.  I put I put a 10 for this.  And I think also, such early iPad use early really just encourages that idea of like these things are normalized and should be in major part of life which really they shouldn't and they should only be a tool rather than, like a, an attachment means to achieving things. So then yea, I disagree with that.  Yea-- I think you're missing a point because still it would be really bad for their health, their eyesight and--","Okay, um, so I put a four. I like very minorly disagree um because ok.. I definitely get annoyed when, like, parents just like sit down their kid and they're like, here look at the-- look the iPad. Um because like...yeah, I mean, I'm sure... yeah, you know..Um but I think sometimes they can be really helpful like if they if it helps them, like, focus on like an educational program that like maybe helps them like, learn math to--. Like yeah, get better or like have um, I don't know, have like a head start before starting school. Um or like maybe the parents aren't very available because they have really tight work schedules. Or like, are in a working class family and they just like need to, like have this way of teaching their kid something. Um I don't think it's ideal, but I think it can help in certain circumstances. Okay-- Okay-- Yea-- Yeah, I agree with those points. But I think like, some people, like don't have the resources to, like, be there all the time with their kids, or like, um they're just like in a really bad situation. Or um like they, they can't really hire someone because it's really expensive. Um and like, I think if there is a solution then like that, could be one, ok, like, really developed apps or something, that like know childhood development um that could help especially if the parents are not educated in like early childhood development, which many are not--they're like not prepared in that way. So, I think that could potentially work.  I do see your point--"
8,TYB,"No. Yeah, that makes sense. And I, yeah, I appreciate that sentiment. I think, I think where I'm coming from is like, I've always done it. And so, and like, I guess I'm also coming from the same standpoint of like, it's always worked and like, um and I also think herd immunity is something that I know a little bit about, like, not as much as I should, obviously, but um.. What do you know about herd immunity? I mean, just like, what like, I don't know the exact number but like 80% of people need to have it in order for the immunizations to actually take its full effect. And so because of that, it just made sense. However, I do know that like seasonal flus are like, changes so rapidly as I... Yeah, that makes sense. I mean, like... Anyway.. haha. Yeah, um, yeah, I think that's really important cause like individual responsibility, right? Yeah, I guess. For me I was thinking like it wouldn't hurt some make it required...  Yeah. Um but also, I do think that, yeah, just like you said, just like freedom of what you do with your body.  Mm-hm. Ya, uh-uh that makes sense... um Huhh I'm stressed to start something else haha.. [seemed because they were almost out of time]. ","No. Yeah, that makes sense. And I, yeah, I appreciate that sentiment. I think, I think where I'm coming from is like, I've always done it. And so, and like, I guess I'm also coming from the same standpoint of like, it's always worked and like, um and I also think herd immunity is something that I know a little bit about, like, not as much as I should, obviously, but um.. I mean, just like, what like, I don't know the exact number but like 80% of people need to have it in order for the immunizations to actually take its full effect. And so because of that, it just made sense. However, I do know that like seasonal flus are like, changes so rapidly as I... Yeah, that makes sense. I mean, like... Anyway.. haha. Yeah, um, yeah, I think that's really important cause like individual responsibility, right? Yeah, I guess. For me I was thinking like it wouldn't hurt some make it required...  Um but also, I do think that, yeah, just like you said, just like freedom of what you do with your body.  Mm-hm. Ya, uh-uh that makes sense... um Huhh I'm stressed to start something else haha.. [seemed because they were almost out of time]. ",What do you know about herd immunity? Yeah.
9,TYB,"Oh, I think I strongly disagreed. Did you strongly agree? I agreed, yeah.  Yeah. I definitely get what you're saying. I appreciate what you're saying about, like students who have a limited amount of time. And I definitely think that is the case. But I think like, there are a lot of different forms of volunteering that students can like participate in and I think it's kind of a way to like get some some hands on experience like I know that, um, for a lot of students like a a mandatory volunteering is like one of the only ways they can really get involved in their community because a lot of a lot like I know a lot of people here don't engage in engage like the Hyde Park community all that much. I think it's important to not have like the University so isolated from the area around it. Yeah, so I feel like we both agree it would be good for volunteers... Yeah.  ...I just like, like, for example, like how would you even want to enfor-,  like my question's like how are we even going to enforce this right. Like, like how would you prove that like I volunteered at like something. Like like I I just don't see how this could be feasible to enforce. Yeah, that's a good point. I think it would be half... Like I feel like I could lie about this very easily.. haha.. Haha.. Yeah. I think you'd have to, um, have the school organize it to some degree. Um, but I think yeah, you're right that I would I think once the school starts to organize it, it would probably get more complicated. I think you're right that like, in theory, it's a good idea. But in practice, it would be more difficult, but I think like, even if it doesn't work out perfectly, it would still be better to have like, a a majority of students like actually volunteering rather than like the students who are willing to, like try to find a way to get around the system. I feel like that would be a smaller proportion of students that like would actually just... Okay, so like so they're always going to be like bad actors in the community, but like, just like, yeah, putting a requirement, well, is like, encourage people to volunteer, is sort of what you're saying. Yeah, Yeah, I think like, um ya.. I feel like that's fairly reasonable... I think like most people, like probably wouldn't actively volunteer and you said like, do you want to do this, but if they had a requirement to, I feel like most people would it be so strongly opposed to it that they'd like find a way to get out of it. I think most people would just like go along. Hmm. Okay. Well, seems like we're out of time. Okay, cool conversation.","I agreed, yeah.  Yeah. I definitely get what you're saying. I appreciate what you're saying about, like students who have a limited amount of time. And I definitely think that is the case. But I think like, there are a lot of different forms of volunteering that students can like participate in and I think it's kind of a way to like get some some hands on experience like I know that, um, for a lot of students like a a mandatory volunteering is like one of the only ways they can really get involved in their community because a lot of a lot like I know a lot of people here don't engage in engage like the Hyde Park community all that much. I think it's important to not have like the University so isolated from the area around it. Yeah.  Yeah, that's a good point. I think it would be half... Haha.. Yeah. I think you'd have to, um, have the school organize it to some degree. Um, but I think yeah, you're right that I would I think once the school starts to organize it, it would probably get more complicated. I think you're right that like, in theory, it's a good idea. But in practice, it would be more difficult, but I think like, even if it doesn't work out perfectly, it would still be better to have like, a a majority of students like actually volunteering rather than like the students who are willing to, like try to find a way to get around the system. I feel like that would be a smaller proportion of students that like would actually just... Yeah, Yeah, I think like, um ya.. I think like most people, like probably wouldn't actively volunteer and you said like, do you want to do this, but if they had a requirement to, I feel like most people would it be so strongly opposed to it that they'd like find a way to get out of it. I think most people would just like go along. Okay, cool conversation.","Oh, I think I strongly disagreed. Did you strongly agree? Yeah, so I feel like we both agree it would be good for volunteers... ...I just like, like, for example, like how would you even want to enfor-,  like my question's like how are we even going to enforce this right. Like, like how would you prove that like I volunteered at like something. Like like I I just don't see how this could be feasible to enforce. Like I feel like I could lie about this very easily.. haha.. Okay, so like so they're always going to be like bad actors in the community, but like, just like, yeah, putting a requirement, well, is like, encourage people to volunteer, is sort of what you're saying. I feel like that's fairly reasonable... Hmm. Okay. Well, seems like we're out of time."
